Formation,Wel_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 SH,ALEXANDER D,2901.5,65.4,0.476,7.5,12.325,,1,0.282,3
A1 SH,ALEXANDER D,2902,64.21,0.471,10.2,10.935,,2,0.256,9
A1 SH,ALEXANDER D,2902.5,63.82,0.467,11.2,10.655,,2,0.231,9
A1 SH,ALEXANDER D,2903,64.74,0.458,15.1,12.705,,2,0.205,9
A1 SH,ALEXANDER D,2904,81.89,0.42,16.3,19.14,,1,0.154,3
A1 SH,ALEXANDER D,2904.5,83.53,0.371,14.9,19.16,,1,0.128,3
A1 SH,ALEXANDER D,2905,83.06,0.316,14.8,19.5,,1,0.103,2
A1 SH,ALEXANDER D,2905.5,81.58,0.279,15.7,19.945,,1,0.077,2
A1 SH,ALEXANDER D,2906,77.83,0.272,17.3,19.285,,1,0.051,3
A1 SH,ALEXANDER D,2906.5,65.11,0.279,15.2,17.42,,1,0.026,3
A1 LM,ALEXANDER D,2907,32.58,0.29,10.3,14.52,,2,1,9
A1 LM,ALEXANDER D,2907.5,25.14,0.294,7.1,12.48,,2,0.985,9
A1 LM,ALEXANDER D,2908,26.51,0.29,7.1,10.91,,2,0.969,7
A1 LM,ALEXANDER D,2908.5,29.78,0.265,8.1,9.05,,2,0.954,7
A1 LM,ALEXANDER D,2909,33.06,0.248,8.6,8.275,,2,0.938,6
A1 LM,ALEXANDER D,2910,37.78,0.22,9.2,8.05,,2,0.908,6
A1 LM,ALEXANDER D,2910.5,40.84,0.212,14.8,10.76,,2,0.892,6
A1 LM,ALEXANDER D,2911,44.08,0.207,16,11.275,,2,0.877,7
A1 LM,ALEXANDER D,2911.5,48.24,0.21,9.8,14.97,,2,0.862,7
A1 LM,ALEXANDER D,2912,51.21,0.228,8.1,16.025,,2,0.846,7
A1 LM,ALEXANDER D,2912.5,55.57,0.253,7.9,15.985,,2,0.831,7
A1 LM,ALEXANDER D,2913,64.21,0.299,7.4,15.785,,2,0.815,4
A1 LM,ALEXANDER D,2913.5,78.65,0.398,8.2,13.805,,2,0.8,4
A1 LM,ALEXANDER D,2914,97.66,0.52,9.7,12.34,,2,0.785,4
A1 LM,ALEXANDER D,2914.5,101.57,0.636,10.1,12.02,,2,0.769,4
A1 LM,ALEXANDER D,2915,102.02,0.679,9.4,11.33,,2,0.754,4
A1 LM,ALEXANDER D,2915.5,100.87,0.658,7.6,10.135,,2,0.738,4
A1 LM,ALEXANDER D,2916,88.36,0.646,7,9.58,,2,0.723,8
A1 LM,ALEXANDER D,2916.5,73.88,0.635,5.2,10.145,,2,0.708,6
A1 LM,ALEXANDER D,2917,62.49,0.635,4.2,10.515,,2,0.692,6
A1 LM,ALEXANDER D,2917.5,61.08,0.641,4.5,10.465,,2,0.677,5
A1 LM,ALEXANDER D,2918,64.32,0.66,6.7,10.575,,2,0.662,5
A1 LM,ALEXANDER D,2918.5,66.04,0.671,9.1,11.38,,2,0.646,6
A1 LM,ALEXANDER D,2919,66.61,0.691,10.8,12.17,,2,0.631,6
A1 LM,ALEXANDER D,2919.5,66.14,0.713,11.6,12.41,,2,0.615,6
A1 LM,ALEXANDER D,2920,68.24,0.735,10,11.64,,2,0.6,8
A1 LM,ALEXANDER D,2920.5,70.81,0.752,5.9,10.36,,2,0.585,8
A1 LM,ALEXANDER D,2921,72.59,0.757,3.7,10.405,,2,0.569,8
A1 LM,ALEXANDER D,2921.5,77.22,0.769,2.5,10.465,,2,0.554,8
A1 LM,ALEXANDER D,2922,101.82,0.762,1.8,10.6,,2,0.538,8
A1 LM,ALEXANDER D,2922.5,115.43,0.756,1,10.755,,2,0.523,8
A1 LM,ALEXANDER D,2923,119.82,0.725,0.5,10.775,,2,0.508,6
A1 LM,ALEXANDER D,2923.5,120.82,0.675,0.6,10.315,,2,0.492,6
A1 LM,ALEXANDER D,2924,118.48,0.619,1.8,9.51,,2,0.477,5
A1 LM,ALEXANDER D,2924.5,89.64,0.571,2.4,9.555,,2,0.462,5
A1 LM,ALEXANDER D,2925,60.79,0.53,3.3,9.86,,2,0.446,6
A1 LM,ALEXANDER D,2925.5,33.46,0.501,4.3,10.16,,2,0.431,6
A1 LM,ALEXANDER D,2926,27.41,0.483,5,10.62,,2,0.415,5
A1 LM,ALEXANDER D,2926.5,24.14,0.471,5.3,11.3,,2,0.4,6
A1 LM,ALEXANDER D,2927,24.6,0.458,5.8,12.115,,2,0.385,6
A1 LM,ALEXANDER D,2927.5,24.58,0.455,4,13.465,,2,0.369,6
A1 LM,ALEXANDER D,2928,23.59,0.47,2.8,14.2,,2,0.354,6
A1 LM,ALEXANDER D,2928.5,23.16,0.513,1.8,14.145,,2,0.338,6
A1 LM,ALEXANDER D,2929,23.61,0.555,1,13.805,,2,0.323,6
A1 LM,ALEXANDER D,2929.5,24.99,0.604,0.3,13.48,,2,0.308,6
A1 LM,ALEXANDER D,2930,26.45,0.635,0.9,12.775,,2,0.292,6
A1 LM,ALEXANDER D,2930.5,28.39,0.661,1.7,12.095,,2,0.277,8
A1 LM,ALEXANDER D,2931,31.6,0.679,2.1,11.665,,2,0.262,6
A1 LM,ALEXANDER D,2931.5,35.71,0.696,2.3,11.39,,2,0.246,6
A1 LM,ALEXANDER D,2932,41.34,0.702,2.8,11.395,,2,0.231,5
A1 LM,ALEXANDER D,2932.5,46.73,0.708,4.4,11.895,,2,0.215,6
A1 LM,ALEXANDER D,2933,54.15,0.72,5.6,11.94,,2,0.2,6
A1 LM,ALEXANDER D,2933.5,60.63,0.739,9.2,10.59,,2,0.185,6
A1 LM,ALEXANDER D,2934,65.2,0.774,11.3,11.15,,2,0.169,4
A1 LM,ALEXANDER D,2934.5,72.19,0.803,12.1,11.505,,2,0.154,4
A1 LM,ALEXANDER D,2935,78.39,0.825,11.7,11.98,,2,0.138,4
A1 LM,ALEXANDER D,2935.5,82.48,0.836,9.7,12.595,,2,0.123,4
A1 LM,ALEXANDER D,2936,83.8,0.811,7.6,13.18,,2,0.108,4
A1 LM,ALEXANDER D,2936.5,84.86,0.78,6.8,13.15,,2,0.092,4
A1 LM,ALEXANDER D,2937,84.28,0.755,7.4,11.64,,2,0.077,6
A1 LM,ALEXANDER D,2937.5,78.32,0.739,4.3,9.2,,2,0.062,6
A1 LM,ALEXANDER D,2938,70.15,0.727,4.1,8.565,,2,0.046,6
A1 LM,ALEXANDER D,2938.5,66.53,0.721,3.4,8.37,,2,0.031,8
A1 LM,ALEXANDER D,2939,69.31,0.717,6.4,10.21,,2,0.015,8
B1 SH,ALEXANDER D,2939.5,78.58,0.717,8.4,12.53,,1,1,3
B1 SH,ALEXANDER D,2940,81.81,0.717,8.6,15.21,,1,0.969,3
B1 SH,ALEXANDER D,2940.5,82.02,0.716,4.5,15.43,,1,0.938,3
B1 SH,ALEXANDER D,2941,75.3,0.722,4.9,13.615,,1,0.906,2
B1 SH,ALEXANDER D,2941.5,66.45,0.722,6.8,12.37,,1,0.875,2
B1 SH,ALEXANDER D,2942,63.91,0.722,7.4,11.865,,1,0.844,2
B1 SH,ALEXANDER D,2942.5,64.11,0.721,7.9,11.92,,1,0.813,2
B1 SH,ALEXANDER D,2943,66.41,0.721,9,12.185,,1,0.781,2
B1 SH,ALEXANDER D,2943.5,72.43,0.721,9.9,12.38,,1,0.75,3
B1 SH,ALEXANDER D,2944,75.89,0.714,9.6,12.83,,1,0.719,3
B1 SH,ALEXANDER D,2944.5,79.81,0.708,8.2,13.335,,1,0.688,3
B1 SH,ALEXANDER D,2945,81.22,0.702,7.2,12.765,,1,0.656,3
B1 SH,ALEXANDER D,2945.5,80.73,0.689,7.2,12.065,,1,0.625,3
B1 SH,ALEXANDER D,2946,80.21,0.679,7.3,11.605,,1,0.594,3
B1 SH,ALEXANDER D,2946.5,79.31,0.667,7.5,11.49,,1,0.563,2
B1 SH,ALEXANDER D,2947,77.91,0.655,7.2,11.755,,1,0.531,2
B1 SH,ALEXANDER D,2947.5,75.57,0.641,6.6,11.25,,1,0.5,2
B1 SH,ALEXANDER D,2948,72.63,0.625,5.8,10.46,,1,0.469,2
B1 SH,ALEXANDER D,2948.5,69.14,0.607,5.6,10.285,,1,0.438,2
B1 SH,ALEXANDER D,2949,65.21,0.589,4.7,10.23,,1,0.406,2
B1 SH,ALEXANDER D,2949.5,60.86,0.571,4,10.185,,1,0.375,2
B1 SH,ALEXANDER D,2950,57.85,0.551,4.7,9.525,,1,0.344,2
B1 SH,ALEXANDER D,2950.5,59.87,0.531,5,9.17,,1,0.313,2
B1 SH,ALEXANDER D,2951,63.55,0.512,7.2,9.93,,1,0.281,2
B1 SH,ALEXANDER D,2951.5,69.27,0.496,8.1,11.3,,1,0.25,2
B1 SH,ALEXANDER D,2952,79.55,0.473,8.2,13.005,,1,0.219,2
B1 SH,ALEXANDER D,2952.5,84.75,0.447,10.1,13.945,,1,0.188,2
B1 SH,ALEXANDER D,2953,86.1,0.438,11.6,14.59,,1,0.156,2
B1 SH,ALEXANDER D,2953.5,87.01,0.464,12.1,15.205,,1,0.125,2
B1 SH,ALEXANDER D,2954,87.46,0.614,6.2,18.555,,1,0.094,3
B1 SH,ALEXANDER D,2954.5,85.24,0.667,6.9,19.51,,1,0.063,3
B1 SH,ALEXANDER D,2955,78.97,0.721,8.5,20.405,,1,0.031,3
B1 SH,ALEXANDER D,2955.5,78.97,0.721,8.5,20.405,,1,0.031,2
B1 LM,ALEXANDER D,2956,67.92,0.795,9.2,19.835,,2,1,8
B1 LM,ALEXANDER D,2956.5,50.23,0.878,5.1,11.71,,2,0.952,8
B1 LM,ALEXANDER D,2957,28.31,0.957,5.4,8.42,,2,0.905,8
B1 LM,ALEXANDER D,2957.5,23.76,0.983,4.4,7.42,,2,0.857,8
B1 LM,ALEXANDER D,2958,21.89,1.004,4.3,7.245,,2,0.81,8
B1 LM,ALEXANDER D,2958.5,20.94,1.016,3.3,7.44,,2,0.762,8
B1 LM,ALEXANDER D,2959,20.93,1.015,3,7.31,,2,0.714,8
B1 LM,ALEXANDER D,2959.5,22.27,0.922,2.8,7.005,,2,0.667,8
B1 LM,ALEXANDER D,2960,26.48,0.885,2.7,6.79,,2,0.619,8
B1 LM,ALEXANDER D,2960.5,27.04,0.866,3.3,6.84,,2,0.571,8
B1 LM,ALEXANDER D,2961,29.7,0.848,4.4,7.2,,2,0.524,6
B1 LM,ALEXANDER D,2961.5,36.65,0.834,5.8,7.665,,2,0.476,5
B1 LM,ALEXANDER D,2962,38.96,0.894,6.6,7.855,,2,0.429,5
B1 LM,ALEXANDER D,2962.5,38.94,0.947,6.9,7.745,,2,0.381,5
B1 LM,ALEXANDER D,2963,38.93,0.97,6,6.96,,2,0.333,6
B1 LM,ALEXANDER D,2963.5,39.54,0.914,4.9,5.64,,2,0.286,6
B1 LM,ALEXANDER D,2964,40.03,0.868,4.3,4.76,,2,0.238,8
B1 LM,ALEXANDER D,2964.5,41.75,0.827,4.2,4.53,,2,0.19,8
B1 LM,ALEXANDER D,2965,44.91,0.785,4.2,4.57,,2,0.143,8
B1 LM,ALEXANDER D,2965.5,58.36,0.741,4.3,4.625,,2,0.095,8
B1 LM,ALEXANDER D,2966,71.82,0.716,4.5,5.065,,2,0.048,4
B2 SH,ALEXANDER D,2966.5,81.13,0.697,7,7.925,,1,1,3
B2 SH,ALEXANDER D,2967,88.32,0.68,9.6,11.79,,1,0.957,3
B2 SH,ALEXANDER D,2967.5,90.49,0.663,7.7,13.675,,1,0.913,3
B2 SH,ALEXANDER D,2968,90.26,0.638,7,14.01,,1,0.87,3
B2 SH,ALEXANDER D,2968.5,89.38,0.61,6.9,13.45,,1,0.826,3
B2 SH,ALEXANDER D,2969,88.92,0.561,8.6,12.73,,1,0.783,3
B2 SH,ALEXANDER D,2969.5,89.37,0.5,9.8,12.52,,1,0.739,3
B2 SH,ALEXANDER D,2970,92.6,0.418,9.4,13.625,,1,0.696,3
B2 SH,ALEXANDER D,2970.5,101.17,0.384,10.2,14.655,,1,0.652,3
B2 SH,ALEXANDER D,2971,110.95,0.352,12.7,16.07,,1,0.609,3
B2 SH,ALEXANDER D,2971.5,112.65,0.344,16.5,18.115,,1,0.565,3
B2 SH,ALEXANDER D,2972,113.04,0.378,15.5,19.145,,1,0.522,3
B2 SH,ALEXANDER D,2972.5,112.5,0.413,8.1,22.875,,1,0.478,3
B2 SH,ALEXANDER D,2973,109.7,0.449,6.5,22.745,,1,0.435,3
B2 SH,ALEXANDER D,2973.5,105.04,0.473,6.4,22.595,,1,0.391,3
B2 SH,ALEXANDER D,2974,98.57,0.497,6.3,22.305,,1,0.348,3
B2 SH,ALEXANDER D,2974.5,88.41,0.509,5.3,18.38,,1,0.304,3
B2 SH,ALEXANDER D,2975,81.26,0.519,4,15.185,,1,0.261,2
B2 SH,ALEXANDER D,2975.5,77.18,0.521,2.7,14.155,,1,0.217,2
B2 SH,ALEXANDER D,2976,73.22,0.524,0.1,13.19,,1,0.174,2
B2 SH,ALEXANDER D,2976.5,69.67,0.56,-4.4,15.205,,1,0.13,2
B2 SH,ALEXANDER D,2977,64.08,0.618,-4.7,20.42,,1,0.087,3
B2 SH,ALEXANDER D,2977.5,58.49,0.679,-1.4,20.12,,1,0.043,3
B2 LM,ALEXANDER D,2978,37.39,0.728,1.4,11.565,,2,1,5
B2 LM,ALEXANDER D,2978.5,15.38,0.759,1.2,11.245,,2,0.95,5
B2 LM,ALEXANDER D,2979,13.87,0.769,1.7,10.85,,2,0.9,8
B2 LM,ALEXANDER D,2979.5,13.94,0.771,3.3,9.9,,2,0.85,8
B2 LM,ALEXANDER D,2980,15.34,0.771,3.2,9.74,,2,0.8,8
B2 LM,ALEXANDER D,2980.5,18.94,0.769,2.8,9.505,,2,0.75,8
B2 LM,ALEXANDER D,2981,21.24,0.764,1.4,9.565,,2,0.7,8
B2 LM,ALEXANDER D,2981.5,22.62,0.764,0.6,9.815,,2,0.65,8
B2 LM,ALEXANDER D,2982,21.9,0.77,0.6,9.76,,2,0.6,8
B2 LM,ALEXANDER D,2982.5,21.67,0.806,0.6,9.64,,2,0.55,8
B2 LM,ALEXANDER D,2983,21.78,0.857,0.3,9.21,,2,0.5,8
B2 LM,ALEXANDER D,2983.5,22.17,0.885,0.7,8.565,,2,0.45,8
B2 LM,ALEXANDER D,2984,22.56,0.906,0.8,7.955,,2,0.4,8
B2 LM,ALEXANDER D,2984.5,23.93,0.915,1,7.5,,2,0.35,8
B2 LM,ALEXANDER D,2985,27.17,0.91,0.9,7.26,,2,0.3,8
B2 LM,ALEXANDER D,2985.5,31.22,0.851,0.5,7.01,,2,0.25,8
B2 LM,ALEXANDER D,2986,37.79,0.785,-0.1,7.075,,2,0.2,8
B2 LM,ALEXANDER D,2986.5,51.83,0.672,-0.2,7.25,,2,0.15,6
B2 LM,ALEXANDER D,2987,69.13,0.534,4.5,9.81,,2,0.1,6
B2 LM,ALEXANDER D,2987.5,87.71,0.391,9.1,12.365,,2,0.05,8
B3 SH,ALEXANDER D,2988,94.42,0.33,8.8,18.165,,1,1,3
B3 SH,ALEXANDER D,2988.5,100.7,0.31,5.9,23.165,,1,0.963,3
B3 SH,ALEXANDER D,2989,103.11,0.292,7.3,22.76,,1,0.926,3
B3 SH,ALEXANDER D,2989.5,104.14,0.312,6.4,21.565,,1,0.889,3
B3 SH,ALEXANDER D,2990,102.97,0.324,5,20.26,,1,0.852,3
B3 SH,ALEXANDER D,2990.5,99,0.346,4.1,19.565,,1,0.815,3
B3 SH,ALEXANDER D,2991,96.66,0.369,3.5,19.015,,1,0.778,3
B3 SH,ALEXANDER D,2991.5,94.79,0.393,9.2,15.415,,1,0.741,3
B3 SH,ALEXANDER D,2992,82.52,0.428,7.9,15.64,,1,0.704,2
B3 SH,ALEXANDER D,2992.5,77.61,0.456,2.6,13.58,,1,0.667,2
B3 SH,ALEXANDER D,2993,75.55,0.494,2.7,12,,1,0.63,2
B3 SH,ALEXANDER D,2993.5,74.77,0.537,3.5,11.51,,1,0.593,2
B3 SH,ALEXANDER D,2994,76.3,0.569,5.2,12.03,,1,0.556,2
B3 SH,ALEXANDER D,2994.5,79.38,0.606,4.8,13.775,,1,0.519,2
B3 SH,ALEXANDER D,2995,80.76,0.638,4.4,14.53,,1,0.481,2
B3 SH,ALEXANDER D,2995.5,80.75,0.655,4.2,13.82,,1,0.444,2
B3 SH,ALEXANDER D,2996,78.97,0.67,4,11.185,,1,0.407,2
B3 SH,ALEXANDER D,2996.5,74.62,0.661,4.2,10.615,,1,0.37,2
B3 SH,ALEXANDER D,2997,72.21,0.643,3.7,10.69,,1,0.333,2
B3 SH,ALEXANDER D,2997.5,72.65,0.624,2.6,11.085,,1,0.296,2
B3 SH,ALEXANDER D,2998,78.02,0.604,2.9,11.185,,1,0.259,2
B3 SH,ALEXANDER D,2998.5,83.45,0.589,5.3,11.95,,1,0.222,2
B3 SH,ALEXANDER D,2999,84.37,0.571,7.1,12.69,,1,0.185,2
B3 SH,ALEXANDER D,2999.5,76.3,0.563,8.1,12.975,,1,0.148,2
B3 SH,ALEXANDER D,3000,67.17,0.616,9,13.23,,1,0.111,3
B3 SH,ALEXANDER D,3000.5,58.04,0.69,9.3,12.135,,1,0.074,3
B3 SH,ALEXANDER D,3001,47.67,0.749,8.3,9.755,,1,0.037,3
B3 SH,ALEXANDER D,3001.5,36.2,0.787,5,8.545,,1,0,3
B3 LM,ALEXANDER D,3002,36.2,0.787,5,8.545,,2,1,8
B3 LM,ALEXANDER D,3002.5,33.43,0.803,2.3,8.365,,2,0.667,8
B3 LM,ALEXANDER D,3003,34.13,0.797,2.2,8.58,,2,0.333,8
B4 SH,ALEXANDER D,3003.5,38.89,0.784,5.1,8.17,,1,1,2
B4 SH,ALEXANDER D,3004,50.61,0.766,5.6,7.995,,1,0.958,2
B4 SH,ALEXANDER D,3004.5,59.35,0.747,5.1,8.205,,1,0.917,2
B4 SH,ALEXANDER D,3005,64.74,0.728,4.5,8.505,,1,0.875,2
B4 SH,ALEXANDER D,3005.5,71.24,0.707,4,8.925,,1,0.833,2
B4 SH,ALEXANDER D,3006,72.62,0.685,4.3,9.675,,1,0.792,2
B4 SH,ALEXANDER D,3006.5,77.63,0.661,4.8,10.675,,1,0.75,2
B4 SH,ALEXANDER D,3007,84.78,0.617,4.8,11.425,,1,0.708,2
B4 SH,ALEXANDER D,3007.5,88.14,0.589,5,11.935,,1,0.667,2
B4 SH,ALEXANDER D,3008,89.78,0.554,5.3,12.21,,1,0.625,2
B4 SH,ALEXANDER D,3008.5,86.7,0.52,4.8,11.29,,1,0.583,2
B4 SH,ALEXANDER D,3009,78.2,0.493,4.9,10.755,,1,0.542,2
B4 SH,ALEXANDER D,3009.5,73.68,0.47,4.4,10.79,,1,0.5,2
B4 SH,ALEXANDER D,3010,72.57,0.456,3.7,11.08,,1,0.458,2
B4 SH,ALEXANDER D,3010.5,77.21,0.444,3.5,11.495,,1,0.417,2
B4 SH,ALEXANDER D,3011,81.84,0.444,3.6,11.985,,1,0.375,2
B4 SH,ALEXANDER D,3011.5,83.79,0.438,4,12.38,,1,0.333,2
B4 SH,ALEXANDER D,3012,84.57,0.438,4.3,12.78,,1,0.292,2
B4 SH,ALEXANDER D,3012.5,85.68,0.431,4.4,13.26,,1,0.25,2
B4 SH,ALEXANDER D,3013,86.46,0.431,5.2,14.46,,1,0.208,2
B4 SH,ALEXANDER D,3013.5,86.45,0.431,7,16.615,,1,0.167,2
B4 SH,ALEXANDER D,3014,85.52,0.431,9.1,17.94,,1,0.125,2
B4 SH,ALEXANDER D,3014.5,65.56,0.441,9.3,18.225,,1,0.083,2
B4 SH,ALEXANDER D,3015,43.49,0.549,6.3,17.055,,1,0.042,2
B4 LM,ALEXANDER D,3015.5,31.57,0.617,-0.1,14.37,,2,1,8
B4 LM,ALEXANDER D,3016,29.3,0.621,-2.3,13.62,,2,0.833,8
B4 LM,ALEXANDER D,3016.5,27.9,0.627,-0.6,12.335,,2,0.667,8
B4 LM,ALEXANDER D,3017,40.33,0.627,1.3,11.47,,2,0.5,8
B4 LM,ALEXANDER D,3017.5,54.83,0.627,3.5,11.895,,2,0.333,8
B4 LM,ALEXANDER D,3018,69.32,0.617,12.1,16.105,,2,0.167,8
B5 SH,ALEXANDER D,3018.5,83.21,0.594,14.4,19.345,,1,1,3
B5 SH,ALEXANDER D,3019,91.02,0.494,13.3,21.48,,1,0.875,3
B5 SH,ALEXANDER D,3019.5,95.68,0.378,9.7,22.44,,1,0.75,3
B5 SH,ALEXANDER D,3020,98.58,0.356,9.4,23.4,,1,0.625,3
B5 SH,ALEXANDER D,3020.5,97.21,0.33,11.6,24.03,,1,0.5,3
B5 SH,ALEXANDER D,3021,94.91,0.318,12.9,23.59,,1,0.375,3
B5 SH,ALEXANDER D,3021.5,90.57,0.312,12.3,23.56,,1,0.25,3
B5 SH,ALEXANDER D,3022,81.18,0.324,11.1,23.74,,1,0.125,3
B5 LM,ALEXANDER D,3022.5,43.14,0.34,0.6,16.815,,2,1,8
B5 LM,ALEXANDER D,3023,33.38,0.36,4.2,15.15,,2,0.967,8
B5 LM,ALEXANDER D,3023.5,29.88,0.38,6,15.305,,2,0.933,8
B5 LM,ALEXANDER D,3024,28.03,0.354,6.6,15.51,,2,0.9,8
B5 LM,ALEXANDER D,3024.5,27.17,0.336,6.5,15.77,,2,0.867,8
B5 LM,ALEXANDER D,3025,26.22,0.305,4.1,17.315,,2,0.833,8
B5 LM,ALEXANDER D,3025.5,24.5,0.243,3,18.23,,2,0.8,8
B5 LM,ALEXANDER D,3026,22.65,0.179,2,18.72,,2,0.767,8
B5 LM,ALEXANDER D,3026.5,19.4,0.158,1.1,18.76,,2,0.733,8
B5 LM,ALEXANDER D,3027,17.21,0.155,-0.5,18.505,,2,0.7,8
B5 LM,ALEXANDER D,3027.5,14.82,0.158,-1.4,17.86,,2,0.667,8
B5 LM,ALEXANDER D,3028,13.34,0.17,-0.2,16.15,,2,0.633,8
B5 LM,ALEXANDER D,3028.5,14.37,0.188,1.1,14.38,,2,0.6,8
B5 LM,ALEXANDER D,3029,16.58,0.236,1.7,12.975,,2,0.567,8
B5 LM,ALEXANDER D,3029.5,19.36,0.342,1.7,11.93,,2,0.533,8
B5 LM,ALEXANDER D,3030,22.13,0.417,2.2,11.195,,2,0.5,6
B5 LM,ALEXANDER D,3030.5,24.46,0.441,3.7,10.44,,2,0.467,6
B5 LM,ALEXANDER D,3031,27.42,0.452,4.8,10.075,,2,0.433,6
B5 LM,ALEXANDER D,3031.5,31.51,0.452,6.1,10.06,,2,0.4,6
B5 LM,ALEXANDER D,3032,36.65,0.452,6.9,10.375,,2,0.367,7
B5 LM,ALEXANDER D,3032.5,42.07,0.452,7.3,10.785,,2,0.333,7
B5 LM,ALEXANDER D,3033,44.85,0.464,6.9,11.1,,2,0.3,8
B5 LM,ALEXANDER D,3033.5,43.82,0.487,3.2,12.825,,2,0.267,8
B5 LM,ALEXANDER D,3034,42.31,0.504,3.2,12.595,,2,0.233,8
B5 LM,ALEXANDER D,3034.5,45.53,0.52,3.7,11.585,,2,0.2,8
B5 LM,ALEXANDER D,3035,53.57,0.524,3.7,10.93,,2,0.167,6
B5 LM,ALEXANDER D,3035.5,58.75,0.519,3.8,10.71,,2,0.133,5
B5 LM,ALEXANDER D,3036,62.45,0.5,3.7,10.68,,2,0.1,6
B5 LM,ALEXANDER D,3036.5,64.3,0.476,6.7,12.145,,2,0.067,8
B5 LM,ALEXANDER D,3037,83.36,0.43,10.6,14.415,,2,0.033,8
C SH,ALEXANDER D,3037.5,99.93,0.377,13,19.93,,1,1,3
C SH,ALEXANDER D,3038,107.9,0.35,10.7,23.79,,1,0.981,3
C SH,ALEXANDER D,3038.5,109.79,0.338,10.3,24.205,,1,0.962,3
C SH,ALEXANDER D,3039,107.46,0.338,8.9,23.415,,1,0.943,3
C SH,ALEXANDER D,3039.5,104.2,0.364,8.8,21.355,,1,0.925,3
C SH,ALEXANDER D,3040,100.89,0.403,8.5,19.2,,1,0.906,3
C SH,ALEXANDER D,3040.5,96.81,0.436,9.1,18.54,,1,0.887,3
C SH,ALEXANDER D,3041,93.52,0.45,10.1,18.555,,1,0.868,3
C SH,ALEXANDER D,3041.5,91.17,0.464,9.5,19.16,,1,0.849,3
C SH,ALEXANDER D,3042,91.16,0.48,7,20.555,,1,0.83,3
C SH,ALEXANDER D,3042.5,91.16,0.498,7,20.82,,1,0.811,3
C SH,ALEXANDER D,3043,90.22,0.511,9.2,20.195,,1,0.792,3
C SH,ALEXANDER D,3043.5,88.76,0.513,11.7,19.065,,1,0.774,3
C SH,ALEXANDER D,3044,87.23,0.525,10.5,18.955,,1,0.755,3
C SH,ALEXANDER D,3044.5,86.48,0.528,7.5,19.295,,1,0.736,3
C SH,ALEXANDER D,3045,86.01,0.528,4.6,19.375,,1,0.717,2
C SH,ALEXANDER D,3045.5,86.01,0.522,5.6,17.82,,1,0.698,2
C SH,ALEXANDER D,3046,86,0.516,8.9,15.975,,1,0.679,2
C SH,ALEXANDER D,3046.5,87.85,0.516,12,14.545,,1,0.66,2
C SH,ALEXANDER D,3047,90.4,0.522,13,14.125,,1,0.642,2
C SH,ALEXANDER D,3047.5,92.34,0.56,13.1,13.93,,1,0.623,2
